Unidade da Federação;2021/Ago
11 Rondônia;7.37133484
12 Acre;1.19675485
13 Amazonas;13.80695866
14 Roraima;2.9078710699999997
15 Pará;20.83786589
16 Amapá;1.87524191
17 Tocantins;2.30408049
21 Maranhão;25.779674829999998
22 Piauí;15.22088572
23 Ceará;35.65000747
24 Rio Grande do Norte;16.80916929
25 Paraíba;16.167879550000002
26 Pernambuco;71.62584436
27 Alagoas;11.393875699999999
28 Sergipe;4.63642057
29 Bahia;61.64568906
31 Minas Gerais;139.15782359
32 Espírito Santo;27.12745408
33 Rio de Janeiro;94.13736139
35 São Paulo;301.98634198
41 Paraná;91.18772264
42 Santa Catarina;48.88499815
43 Rio Grande do Sul;74.95458962000001
50 Mato Grosso do Sul;11.30298598
51 Mato Grosso;19.84924943
52 Goiás;44.93982134
53 Distrito Federal;22.1564376
